"Title:","Arrests by Age and Gender from the Arrests Database"
"SubTitle:","USA - Age: All Ages"
"Time:","1980 - 2020"
"Unit of Measure:","#","#","#","#","#","#","#","#","#","#","#","#","#","#","#"
"Citation:","Criminal Justice Information Services Division, Federal Bureau of Investigation, Federal Bureau of Investigation (2022-02-17). Arrests: Arrests by Age and Gender | All Offenses | Murder and Non-Negligent Manslaughter | Manslaughter by Negligence | Aggravated Assault | Burglary - Breaking or Entering | All Genders | Female | Male | All Ages, 1980 - 2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  010-002-001 doi:https://doi.org/10.6068/DP1845DEBFCFB61"
"ColumnCount:",16
"RowCount:",41

"Time","All Offenses, All Genders, All Ages, Arrests","All Offenses, Female, All Ages, Arrests","All Offenses, Male, All Ages, Arrests","Murder and Non-Negligent Manslaughter, All Genders, All Ages, Arrests","Murder and Non-Negligent Manslaughter, Female, All Ages, Arrests","Murder and Non-Negligent Manslaughter, Male, All Ages, Arrests","Manslaughter by Negligence, All Genders, All Ages, Arrests","Manslaughter by Negligence, Female, All Ages, Arrests","Manslaughter by Negligence, Male, All Ages, Arrests","Aggravated Assault, All Genders, All Ages, Arrests","Aggravated Assault, Female, All Ages, Arrests","Aggravated Assault, Male, All Ages, Arrests","Burglary - Breaking or Entering, All Genders, All Ages, Arrests","Burglary - Breaking or Entering, Female, All Ages, Arrests","Burglary - Breaking or Entering, Male, All Ages, Arrests"
"1980",9907877,1560694,8347183,19194,2454,16740,3296,380,2916,265250,32831,232419,490148,30165,459983
"1981",10336335,1667313,8669022,20548,2605,17943,3236,368,2868,268889,33851,235038,493506,30840,462666
"1982",10923440,1772834,9150606,19808,2617,17191,2875,315,2560,280562,35898,244664,475048,30673,444375
"1983",10791665,1780762,9010903,18759,2507,16252,2676,354,2322,273494,36724,236770,436841,29297,407544
"1984",10847015,1817363,9029652,18062,2361,15701,2651,310,2341,282544,38195,244349,404767,29068,375699
"1985",11108639,1925391,9183248,17517,2172,15345,2554,315,2239,280816,37740,243076,410040,29882,380158
"1986",11491156,1988429,9502727,18034,2226,15808,2740,390,2350,319030,42254,276776,411070,31424,379646
"1987",11608856,2056666,9552190,17826,2239,15587,2409,325,2084,325959,43693,282266,401440,31400,370040
"1988",11041981,1967236,9074745,17599,2137,15462,2282,295,1987,332286,44513,287773,361701,29778,331923
"1989",11964313,2162091,9802222,18708,2240,16468,2105,312,1793,374442,50050,324392,375768,32442,343326
"1990",12630028,2317069,10312959,20528,2163,18365,2188,293,1895,427356,57853,369503,385186,32898,352288
"1991",11984945,2241283,9743662,20282,2093,18189,2029,298,1731,412759,56848,355911,372101,32149,339952
"1992",13052423,2472086,10580337,21451,2060,19391,1923,249,1674,472198,70923,401275,389725,35187,354538
"1993",12344259,2390210,9954049,21646,2013,19633,1907,227,1680,460318,72111,388207,354218,34454,319764
"1994",12586252,2512725,10073527,19557,1945,17612,1853,224,1629,469785,77811,391974,336745,34805,301940
"1995",12712853,2587027,10125826,18658,1776,16882,1680,248,1432,477957,84441,393516,321414,34747,286667
"1996",12068031,2495369,9572662,15647,1585,14062,1497,238,1259,417674,75020,342654,288774,32113,256661
"1997",12374783,2610127,9764656,14913,1513,13400,1530,241,1289,425491,80737,344754,278660,32810,245850
"1998",11973367,2542296,9431071,13963,1522,12441,1279,190,1089,406404,80517,325887,259851,32218,227633
"1999",11402034,2430492,8971542,12422,1368,11054,1260,213,1047,382284,76949,305335,229537,28997,200540
"2000",11357619,2437873,8919746,11876,1302,10574,1269,230,1039,379981,77360,302621,222346,28679,193667
"2001",11194343,2460345,8733998,12100,1499,10601,1256,220,1036,382328,77729,304599,224701,29601,195100
"2002",11247814,2567735,8680079,11496,1250,10246,1390,227,1163,376023,76315,299708,230272,29974,200298
"2003",10843249,2539119,8304130,10648,1159,9489,1314,246,1068,354564,73439,281125,231044,31641,199403
"2004",11119294,2657228,8462066,10544,1209,9335,1291,242,1049,348215,72349,275866,233861,33027,200834
"2005",11406450,2735720,8670730,11262,1278,9984,1301,238,1063,355866,74118,281748,238980,34175,204805
"2006",11385362,2713190,8672172,10668,1166,9502,1368,287,1081,355922,73921,282001,241937,34469,207468
"2007",11432470,2772327,8660143,10755,1107,9648,1236,262,974,347332,73910,273422,243180,35039,208141
"2008",11444167,2810396,8633771,10554,1126,9428,1059,195,864,349550,75149,274401,254206,36565,217641
"2009",11445004,2896078,8548926,10348,1091,9257,952,222,730,349024,76663,272361,250534,37038,213496
"2010",10921727,2804149,8117578,9386,1022,8364,916,223,693,338806,76444,262362,241432,36615,204817
"2011",10345595,2699855,7645740,8975,1053,7922,854,189,665,323735,73445,250290,242169,37492,204677
"2012",10145340,2672454,7472886,9067,1021,8046,961,217,744,321173,73384,247789,235989,38409,197580
"2013",10744038,2821141,7922897,9012,1059,7953,896,197,699,316691,70680,246011,214638,36248,178390
"2014",9385105,2514320,6870785,8816,1031,7785,922,196,726,307239,70656,236583,198002,34790,163212
"2015",9137932,2476709,6661223,9612,1118,8494,923,181,742,315052,72865,242187,182333,33811,148522
"2016",9054001,2459561,6594440,10060,1212,8848,998,228,770,320513,74348,246165,175742,32513,143229
"2017",9115557,2463312,6652245,10421,1296,9125,1011,234,777,325872,75943,249929,169708,31628,138080
"2018",8889911,2411972,6477939,10308,1259,9049,1001,261,740,331338,77863,253475,152033,29552,122481
"2019",7949407,2198973,5750434,9820,1303,8517,991,246,745,314605,73898,240707,136095,27784,108311
"2020",5939313,1577821,4361492,9979,1231,8748,1067,208,859,294363,67955,226408,115766,21981,93785



