"Title:","Vehicles in Fatal Crashes, by Vehicle Make / Model Year from the Fatal Traffic Accidents: Vehicles Involved Database"
"SubTitle:","USA - Type: All Types - Model: All Models - Vehicle Year: All Vehicle Years"
"Time:","01/1975 - 12/2020"
"Unit of Measure:","#","#","#","#","#","#","#"
"Citation:","National Highway Traffic Safety Administration (2022-05-06). Fatal Traffic Accidents: Vehicles Involved: Vehicles in Fatal Crashes, by Vehicle Make / Model Year | All Types | All Makes | Chevrolet | Ford | Honda | Jaguar | Mercedes-Benz | Toyota | All Models | All Vehicle Years, 01/1975 - 12/2020. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  023-004-006 doi:https://doi.org/10.6068/DP1845DD3949452"
"ColumnCount:",8
"RowCount:",552

"Time","All Types, All Makes, All Models, All Vehicle Years, #","All Types, Chevrolet, All Models, All Vehicle Years, #","All Types, Ford, All Models, All Vehicle Years, #","All Types, Honda, All Models, All Vehicle Years, #","All Types, Jaguar, All Models, All Vehicle Years, #","All Types, Mercedes-Benz, All Models, All Vehicle Years, #","All Types, Toyota, All Models, All Vehicle Years, #"
"01/1975",7606,1758,1624,48,,,92
"02/1975",7018,1632,1396,68,,,84
"03/1975",8156,1876,1722,72,,,92
"04/1975",8144,1832,1604,104,,,110
"05/1975",9964,2196,1936,176,,,146
"06/1975",10114,2278,1860,206,,,140
"07/1975",10462,2358,2014,212,,,114
"08/1975",10742,2420,2044,176,,,146
"09/1975",9750,2226,1964,198,,,106
"10/1975",9916,2248,1998,148,,,128
"11/1975",9722,2378,2034,132,,,122
"12/1975",9468,2316,1954,80,,,128
"01/1976",7498,1720,1528,46,,,86
"02/1976",7402,1788,1618,74,,,118
"03/1976",7868,1776,1578,108,,,94
"04/1976",8682,2078,1692,112,,,130
"05/1976",10150,2260,2002,210,,,136
"06/1976",9750,2100,1910,150,,,160
"07/1976",11222,2444,2188,230,,,154
"08/1976",10714,2312,2148,248,,,154
"09/1976",9900,2228,1974,190,,,132
"10/1976",10506,2378,2034,146,,,150
"11/1976",8676,2114,1860,122,,,136
"12/1976",9800,2346,1960,114,,,162
"01/1977",7026,1542,1448,104,,,148
"02/1977",7342,1638,1552,96,,,122
"03/1977",8820,1928,1916,188,,,132
"04/1977",9358,2134,1856,268,,,136
"05/1977",10172,2326,1978,378,,,182
"06/1977",10940,2404,2034,392,,,184
"07/1977",12304,2670,2320,602,,,250
"08/1977",11718,2622,2258,416,,,208
"09/1977",10670,2310,2018,346,,,176
"10/1977",11464,2594,2320,294,,,186
"11/1977",10518,2364,2246,196,,,194
"12/1977",10698,2502,2182,130,,,200
"01/1978",7140,1638,1446,94,,12,112
"02/1978",6914,1480,1460,116,,14,128
"03/1978",9068,2034,1790,158,,12,196
"04/1978",9946,2280,2006,312,,12,156
"05/1978",11122,2402,1952,456,,26,194
"06/1978",11918,2490,2246,510,,16,220
"07/1978",12576,2670,2276,566,,22,226
"08/1978",12632,2794,2290,548,,18,236
"09/1978",12204,2790,2358,458,,18,210
"10/1978",12038,2754,2424,310,,20,226
"11/1978",11308,2576,2304,228,,36,258
"12/1978",11422,2658,2324,202,,22,258
"01/1979",8192,1778,1590,122,,22,192
"02/1979",8318,1854,1704,122,,16,196
"03/1979",10402,2380,1958,264,,18,242
"04/1979",10404,2400,1898,350,,16,230
"05/1979",10982,2358,1980,478,,20,218
"06/1979",11226,2254,2038,524,,16,226
"07/1979",11802,2418,2090,516,,22,234
"08/1979",11882,2460,2248,542,,28,280
"09/1979",11684,2628,2252,430,,26,266
"10/1979",11750,2722,2182,276,,22,212
"11/1979",11124,2532,2168,198,,26,248
"12/1979",11758,2722,2340,220,,24,272
"01/1980",8668,1920,1794,128,4,32,214
"02/1980",8194,1874,1560,166,,16,192
"03/1980",9070,2032,1768,218,2,16,222
"04/1980",9452,1920,1806,344,4,24,248
"05/1980",11248,2376,2042,522,4,28,300
"06/1980",11972,2546,2168,536,,34,262
"07/1980",11902,2496,2074,580,6,24,314
"08/1980",13202,2934,2246,590,2,38,352
"09/1980",11112,2494,2004,458,,26,278
"10/1980",10898,2382,2050,286,6,34,322
"11/1980",10608,2362,2050,228,4,20,310
"12/1980",10644,2448,2040,172,,26,282
"01/1981",9080,2096,1756,158,4,22,250
"02/1981",8682,1876,1672,208,2,12,268
"03/1981",9312,2076,1786,278,4,10,316
"04/1981",9872,2166,1772,346,2,24,282
"05/1981",10690,2212,1908,382,2,40,276
"06/1981",11108,2244,1860,442,4,16,320
"07/1981",11952,2446,1998,570,6,12,316
"08/1981",12442,2450,2190,592,2,30,384
"09/1981",10852,2156,2006,482,2,18,318
"10/1981",10900,2424,2008,298,,28,318
"11/1981",10162,2260,1928,240,2,18,350
"12/1981",10346,2260,1974,200,,36,354
"01/1982",7652,1702,1412,156,2,16,244
"02/1982",7282,1580,1254,194,2,10,252
"03/1982",8612,1820,1550,244,6,14,258
"04/1982",9158,1974,1562,294,2,16,296
"05/1982",9886,2024,1612,478,2,22,310
"06/1982",9872,2080,1690,410,,28,280
"07/1982",10698,2130,1798,474,6,22,286
"08/1982",10696,2124,1888,498,,18,306
"09/1982",10006,2176,1702,390,4,24,280
"10/1982",10364,2234,1868,306,2,10,288
"11/1982",9114,1948,1592,198,4,30,316
"12/1982",9570,2100,1728,218,2,22,316
"01/1983",7440,1546,1436,198,4,18,264
"02/1983",7056,1554,1308,172,,16,256
"03/1983",7848,1614,1514,196,2,36,314
"04/1983",8428,1798,1530,312,2,20,278
"05/1983",9382,1884,1614,410,,26,294
"06/1983",9546,1908,1688,426,,26,292
"07/1983",10548,2152,1816,562,2,34,360
"08/1983",10620,2150,1804,550,4,20,320
"09/1983",10282,2018,1730,464,6,28,348
"10/1983",10244,2262,1704,368,4,32,340
"11/1983",9386,1994,1742,230,2,30,330
"12/1983",9432,1998,1598,238,8,20,398
"01/1984",7586,1530,1450,206,8,20,278
"02/1984",7416,1562,1292,234,,14,244
"03/1984",8610,1772,1510,300,4,26,332
"04/1984",8470,1672,1456,308,2,32,334
"05/1984",9878,1852,1790,500,2,30,318
"06/1984",10776,2012,1818,558,6,30,358
"07/1984",10972,2086,1874,568,2,28,412
"08/1984",11124,2092,1768,638,4,14,382
"09/1984",10718,2178,1784,578,10,12,390
"10/1984",10576,2126,1810,398,4,30,342
"11/1984",9834,2036,1888,268,4,10,336
