"Title:","Net income from the Income Database"
"SubTitle:","State"
"Time:","2000/1 - 2022/2"
"Unit of Measure:","$","$","$","$","$","$","$","$","$","$","$","$","$","$","$"
"Citation:","Federal Deposit Insurance Corporation  (2022-11-06). Income: Net income | California, Louisiana, Massachusetts, New York, Texas | All Banks | Savings Association, State or Federal Charter - Supervised by OTS | Commercial Bank, State Charter and Fed Member - Supervised by FRB, 2000/1 - 2022/2. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  011-008-012 doi:https://doi.org/10.6068/DP1845E09630C68"
"ColumnCount:",16
"RowCount:",90

"Time","California, All Banks ($)","California, Savings Association, State or Federal Charter - Supervised by OTS ($)","California, Commercial Bank, State Charter and Fed Member - Supervised by FRB ($)","Louisiana, All Banks ($)","Louisiana, Savings Association, State or Federal Charter - Supervised by OTS ($)","Louisiana, Commercial Bank, State Charter and Fed Member - Supervised by FRB ($)","Massachusetts, All Banks ($)","Massachusetts, Savings Association, State or Federal Charter - Supervised by OTS ($)","Massachusetts, Commercial Bank, State Charter and Fed Member - Supervised by FRB ($)","New York, All Banks ($)","New York, Savings Association, State or Federal Charter - Supervised by OTS ($)","New York, Commercial Bank, State Charter and Fed Member - Supervised by FRB ($)","Texas, All Banks ($)","Texas, Savings Association, State or Federal Charter - Supervised by OTS ($)","Texas, Commercial Bank, State Charter and Fed Member - Supervised by FRB ($)"
"2000/1",629806000,156442000,67524000,118383000,7179000,3715000,336333000,12450000,157322000,765292000,86388000,452275000,344696000,61969000,23219000
"2000/2",1263177000,313210000,145411000,239163000,14570000,7690000,678206000,24625000,312339000,1650122000,176519000,962575000,719815000,137604000,47761000
"2000/3",1935075000,495559000,218665000,362188000,21357000,11915000,1051818000,36820000,477030000,2577714000,262806000,1522471000,1123763000,225000000,73958000
"2000/4",2615620000,814930000,297183000,447271000,27651000,14936000,1413419000,49077000,646879000,3583151000,341011000,2184689000,1504381000,307701000,101032000
"2001/1",731416000,250314000,90764000,129174000,6871000,4043000,363928000,12885000,161923000,925754000,90955000,526342000,391597000,72363000,24610000
"2001/2",1534927000,568771000,176370000,261401000,13623000,8174000,990267000,26145000,572221000,1888247000,185053000,1045470000,815042000,166750000,50170000
"2001/3",2316932000,879086000,252912000,397637000,20990000,12345000,1386756000,34677000,747109000,2622797000,285680000,1425201000,1231784000,251276000,78528000
"2001/4",3042802000,1240586000,334334000,528819000,29486000,16347000,1783301000,47279000,950695000,3372203000,382904000,1816367000,1646776000,343544000,102716000
"2002/1",868102000,363872000,90974000,147444000,9565000,5006000,420736000,12381000,199765000,939648000,116192000,467741000,452138000,80413000,31894000
"2002/2",1831471000,704010000,171392000,310709000,19591000,10231000,844562000,25595000,393729000,1927307000,234519000,935012000,1030706000,179635000,65095000
"2002/3",2887034000,1060837000,259274000,471204000,29812000,15493000,1283260000,40129000,594594000,2694360000,348623000,1237236000,1594450000,300521000,101992000
"2002/4",3963323000,1452264000,344756000,621780000,39711000,20420000,1992353000,51023000,1087980000,3291587000,489032000,1366308000,2137639000,421094000,132451000
"2003/1",1128777000,400472000,83772000,154373000,11906000,5657000,297691000,4763000,104406000,1172962000,133862000,622137000,579009000,93408000,36429000
"2003/2",2248634000,806030000,177681000,315524000,22661000,12660000,604264000,23068000,123765000,2071429000,265477000,974463000,1224093000,202197000,74661000
"2003/3",3495405000,1246314000,278892000,503842000,33720000,19405000,1090560000,36339000,334131000,3033367000,384377000,1415263000,1871920000,346659000,112267000
"2003/4",4706354000,1676265000,382720000,659461000,40997000,26072000,1789077000,46176000,783165000,4171575000,508294000,1962107000,2446928000,452678000,148919000
"2004/1",1302573000,426621000,102351000,172082000,8973000,7168000,524757000,11064000,243203000,1123432000,131994000,459768000,662035000,85039000,38943000
"2004/2",2732149000,874252000,210233000,348655000,16483000,14358000,1063834000,23515000,486709000,2289503000,266045000,1022272000,1294028000,188137000,79234000
"2004/3",4156844000,1356938000,337095000,530628000,24499000,22149000,1556271000,36740000,694250000,3758742000,409071000,1837137000,2144278000,272461000,123214000
"2004/4",5619555000,1885263000,463738000,704899000,31267000,30020000,2044457000,49277000,885917000,4926852000,541748000,2418050000,2718081000,382906000,168350000
"2005/1",1589243000,549882000,137984000,193467000,8334000,8175000,507164000,13001000,231006000,1364596000,153294000,565291000,634231000,102659000,49152000
"2005/2",3262077000,1142392000,287226000,392575000,17704000,17379000,1074038000,24358000,477034000,2739982000,308380000,1181495000,1268284000,214916000,100312000
