"Title:","Net income from the Income Database"
"SubTitle:","State"
"Time:","2000/1 - 2022/2"
"Unit of Measure:","$","$","$","$","$","$","$","$","$","$"
"Citation:","Federal Deposit Insurance Corporation  (2022-11-06). Income: Net income | California, Louisiana, Massachusetts, New York, Texas | All Banks | Savings Association, State or Federal Charter - Supervised by OTS, 2000/1 - 2022/2. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  011-008-012 doi:https://doi.org/10.6068/DP1845DFBF17D67"
"ColumnCount:",11
"RowCount:",90

"Time","California, All Banks ($)","California, Savings Association, State or Federal Charter - Supervised by OTS ($)","Louisiana, All Banks ($)","Louisiana, Savings Association, State or Federal Charter - Supervised by OTS ($)","Massachusetts, All Banks ($)","Massachusetts, Savings Association, State or Federal Charter - Supervised by OTS ($)","New York, All Banks ($)","New York, Savings Association, State or Federal Charter - Supervised by OTS ($)","Texas, All Banks ($)","Texas, Savings Association, State or Federal Charter - Supervised by OTS ($)"
"2000/1",629806000,156442000,118383000,7179000,336333000,12450000,765292000,86388000,344696000,61969000
"2000/2",1263177000,313210000,239163000,14570000,678206000,24625000,1650122000,176519000,719815000,137604000
"2000/3",1935075000,495559000,362188000,21357000,1051818000,36820000,2577714000,262806000,1123763000,225000000
"2000/4",2615620000,814930000,447271000,27651000,1413419000,49077000,3583151000,341011000,1504381000,307701000
"2001/1",731416000,250314000,129174000,6871000,363928000,12885000,925754000,90955000,391597000,72363000
"2001/2",1534927000,568771000,261401000,13623000,990267000,26145000,1888247000,185053000,815042000,166750000
"2001/3",2316932000,879086000,397637000,20990000,1386756000,34677000,2622797000,285680000,1231784000,251276000
"2001/4",3042802000,1240586000,528819000,29486000,1783301000,47279000,3372203000,382904000,1646776000,343544000
"2002/1",868102000,363872000,147444000,9565000,420736000,12381000,939648000,116192000,452138000,80413000
"2002/2",1831471000,704010000,310709000,19591000,844562000,25595000,1927307000,234519000,1030706000,179635000
"2002/3",2887034000,1060837000,471204000,29812000,1283260000,40129000,2694360000,348623000,1594450000,300521000
"2002/4",3963323000,1452264000,621780000,39711000,1992353000,51023000,3291587000,489032000,2137639000,421094000
"2003/1",1128777000,400472000,154373000,11906000,297691000,4763000,1172962000,133862000,579009000,93408000
