"Title:","Net income from the Income Database"
"SubTitle:","State - Bank Charter Type: All Banks"
"Time:","2000/1 - 2022/2"
"Unit of Measure:","$","$","$","$","$"
"Citation:","Federal Deposit Insurance Corporation  (2022-11-06). Income: Net income | California, Louisiana, Massachusetts, New York, Texas | All Banks, 2000/1 - 2022/2. Data Planet? Statistical Datasets: A SAGE Publishing Resource. (Dataset). Dataset-ID:  011-008-012 doi:https://doi.org/10.6068/DP1845DF3EA2563"
"ColumnCount:",6
"RowCount:",90

"Time","California, All Banks ($)","Louisiana, All Banks ($)","Massachusetts, All Banks ($)","New York, All Banks ($)","Texas, All Banks ($)"
"2000/1",629806000,118383000,336333000,765292000,344696000
"2000/2",1263177000,239163000,678206000,1650122000,719815000
"2000/3",1935075000,362188000,1051818000,2577714000,1123763000
"2000/4",2615620000,447271000,1413419000,3583151000,1504381000
"2001/1",731416000,129174000,363928000,925754000,391597000
"2001/2",1534927000,261401000,990267000,1888247000,815042000
"2001/3",2316932000,397637000,1386756000,2622797000,1231784000
"2001/4",3042802000,528819000,1783301000,3372203000,1646776000
"2002/1",868102000,147444000,420736000,939648000,452138000
"2002/2",1831471000,310709000,844562000,1927307000,1030706000
"2002/3",2887034000,471204000,1283260000,2694360000,1594450000
"2002/4",3963323000,621780000,1992353000,3291587000,2137639000
"2003/1",1128777000,154373000,297691000,1172962000,579009000
"2003/2",2248634000,315524000,604264000,2071429000,1224093000
"2003/3",3495405000,503842000,1090560000,3033367000,1871920000
"2003/4",4706354000,659461000,1789077000,4171575000,2446928000
"2004/1",1302573000,172082000,524757000,1123432000,662035000
"2004/2",2732149000,348655000,1063834000,2289503000,1294028000
"2004/3",4156844000,530628000,1556271000,3758742000,2144278000
"2004/4",5619555000,704899000,2044457000,4926852000,2718081000
"2005/1",1589243000,193467000,507164000,1364596000,634231000
"2005/2",3262077000,392575000,1074038000,2739982000,1268284000
"2005/3",5013564000,402951000,1545465000,4175928000,1956246000
"2005/4",6851788000,412999000,2156733000,5537574000,2578338000
"2006/1",1732389000,202085000,628350000,1004446000,705101000
"2006/2",3506848000,411121000,1210662000,2552228000,1465458000
"2006/3",5346014000,616202000,1844864000,4223723000,2222160000
"2006/4",5725425000,830130000,2482603000,6110829000,2843210000
"2007/1",1533495000,164058000,583072000,1158345000,733404000
"2007/2",2588019000,350335000,958227000,2122888000,1551380000
"2007/3",3872217000,295207000,1477157000,3294895000,2338890000
"2007/4",3752508000,312795000,1850362000,3700314000,2883237000
"2008/1",-252602000,43708000,670044000,1115841000,601896000
"2008/2",-2129365000,247464000,1361137000,1482131000,958163000
"2008/3",-3022931000,393745000,1574351000,2262606000,773449000
"2008/4",-1017371000,-551103000,1990621000,525156000,1746808000
"2009/1",34464000,155656000,566907000,561213000,-1874124000
"2009/2",-914457000,324355000,-2533841000,1005160000,-1589662000
"2009/3",-1625925000,455686000,-2092399000,-933883000,1111393000
"2009/4",-994792000,528729000,-1353548000,-438172000,1372474000
"2010/1",283910000,363147000,647148000,929079000,579876000
"2010/2",652678000,619857000,1442068000,2046144000,1208895000
"2010/3",1358775000,889240000,2149177000,3179765000,1913186000
"2010/4",1945863000,1020337000,2542837000,4279668000,2510763000
"2011/1",906011000,471100000,606592000,1267524000,658793000
"2011/2",1873662000,866391000,1267071000,2715221000,1408610000
"2011/3",2789761000,1404345000,1993328000,4080789000,2360870000
"2011/4",3590496000,1625068000,2511969000,5662118000,3042982000
"2012/1",985035000,380896000,601856000,1270134000,930046000
"2012/2",2102193000,417770000,1233174000,2381357000,1804729000
"2012/3",3164687000,1189081000,2063493000,3875510000,2697405000
"2012/4",4051782000,1945740000,2757728000,5473039000,3399008000
"2013/1",994146000,567694000,591132000,612674000,926608000
"2013/2",2029159000,1177605000,1333251000,2417751000,1920501000
"2013/3",3230946000,1831287000,2045466000,691795000,2871410000
"2013/4",4335957000,2277268000,2784825000,1980717000,3705024000
"2014/1",1015084000,538361000,563427000,1519999000,923893000
"2014/2",2160026000,1118767000,1323839000,3052584000,1951072000
"2014/3",3400915000,1613191000,2038419000,4088596000,2981024000
"2014/4",4607206000,2159929000,2735514000,5580130000,3957099000
"2015/1",1119709000,605260000,604038000,1576004000,1020997000
"2015/2",2112002000,1055384000,1336773000,3887077000,2075482000
"2015/3",2719777000,1688895000,2159054000,5572004000,3139129000
"2015/4",4166598000,2067001000,2878636000,6682919000,3961326000
"2016/1",1185800000,527839000,581245000,1844281000,1010931000
"2016/2",2603972000,1084529000,1470399000,3691848000,2042391000
"2016/3",3897493000,1598453000,2344152000,5442192000,3151816000
"2016/4",5456548000,1336884000,3292430000,7374008000,3925048000
"2017/1",1449809000,682743000,808838000,1967935000,1093752000
"2017/2",3057250000,1349203000,1692169000,4029755000,2301111000
"2017/3",4606381000,2012654000,2702024000,6098746000,3557199000
"2017/4",4962780000,1753778000,3324603000,7871264000,4492934000
"2018/1",1909558000,922328000,1050102000,2385617000,1351700000
"2018/2",3965060000,2275253000,2184231000,5098439000,2834945000
"2018/3",5928429000,3122164000,3368759000,7870531000,4289514000
"2018/4",7996998000,3833434000,4220012000,10402217000,5593940000
"2019/1",2011069000,953468000,899271000,2639392000,1360518000
"2019/2",4051659000,2051935000,1911503000,5406870000,2841859000
"2019/3",4330174000,2907752000,2905013000,8082916000,4469036000
"2019/4",6313822000,3509695000,3981843000,10609818000,5437386000
"2020/1",-624914000,-292487000,768703000,1674925000,1059529000
"2020/2",425262000,-527519000,1299620000,3478885000,2080194000
"2020/3",2105380000,799833000,2294179000,5698361000,3318865000
"2020/4",4135110000,1885061000,3355732000,7998721000,4417592000
"2021/1",2449839000,1549001000,1042467000,2746122000,1533472000
"2021/2",4861942000,3217046000,2322488000,5678425000,2992231000
"2021/3",6949645000,4632954000,3451373000,8451739000,4481269000
"2021/4",9495427000,5796746000,4498095000,11350003000,5716998000
"2022/1",2418524000,1140923000,971400000,2344376000,1468500000
"2022/2",4980830000,2008204000,2075010000,4694462000,3172138000



"Publisher:", "Federal Deposit Insurance Corporation "
"Copyright:", "The data contained in Data Planet(tm): A SAGE Publishing Resource is made available via license agreement with subscribing organizations. Your organization's license may vary from this version."
